Date,Gare de départ,Gare d'arrivée,Durée moyenne du trajet,Nombre de circulations prévues,Nombre de trains annulés,Nombre de trains en retard à l'arrivée,Retard moyen des trains en retard à l'arrivée,Retard moyen de tous les trains à l'arrivée
2018-02-01,Marseille St Charles,Lyon Part Dieu,106,492,4,89,27.55561798,7.563217213
2018-03-01,Paris Lyon,Avignon Tgv,159,466,7,47,29.49609929,4.449745824
2018-03-01,Lausanne,Paris Lyon,221,141,1,15,48.32888889,5.747261905
2018-03-01,Bordeaux St Jean,Paris Montparnasse,141,878,35,135,28.64111111,6.19849743
2018-03-01,Marseille St Charles,Lille,309,189,5,38,37.93991228,10.44365942
2018-03-01,Rennes,Lyon Part Dieu,234,93,0,5,57.18333333,2.076344086
2018-03-01,Paris Vaugirard,Nantes,140,58,0,5,21.38333333,2.597701149
2018-03-01,Arras,Paris Nord,51,353,19,119,18.18095238,7.39505988
2018-03-01,Lille,Marseille St Charles,307,187,5,36,44.93888889,10.78205128
2018-03-01,Paris Vaugirard,Bordeaux St Jean,165,55,0,6,36.51666667,4.158787879
2018-03-01,Marseille St Charles,Paris Lyon,202,432,9,40,32.69291667,3.940149724
2018-03-01,Paris Est,Reims,45,220,6,22,10.52651515,1.416900312
2018-03-01,Lyon Part Dieu,Lille,193,305,11,60,38.15166667,10.69348073
2018-03-01,Nice Ville,Paris Lyon,346,196,7,26,35.94487179,4.620546737
2018-03-01,Paris Lyon,Perpignan,309,148,1,27,53.66604938,11.09988662
2018-03-01,Paris Lyon,Italie,431,95,1,20,43.875,9.590425532
2018-03-01,Paris Montparnasse,Brest,221,283,6,21,50.28571429,4.80866426
2018-03-01,Quimper,Paris Montparnasse,223,260,5,13,30.29487179,4.043071895
2018-03-01,Vannes,Paris Montparnasse,155,282,7,29,20.31724138,4.102181818
2018-03-01,Paris Montparnasse,Tours,72,191,8,38,20.23947368,5.399362477
2018-03-01,Montpellier,Paris Lyon,206,340,8,40,50.62458333,5.9687751
2018-03-01,Lyon Part Dieu,Montpellier,112,305,11,55,43.54030303,8.236678005
2018-03-01,Paris Est,Nancy,94,300,13,31,31.68709677,4.562020906
2018-03-01,Aix En Provence Tgv,Paris Lyon,188,396,8,39,32.43589744,4.288187285
2018-03-01,Besancon Franche Comte Tgv,Paris Lyon,131,203,5,19,37.9254386,4.106565657
2018-03-01,Paris Montparnasse,St Pierre Des Corps,61,389,17,69,14.25048309,3.490098566
2018-03-01,Nantes,Strasbourg,302,41,1,4,21.80416667,4.220833333
2018-03-01,Paris Nord,Arras,55,326,19,76,18.82083333,5.463409338
2018-03-01,Lille,Paris Nord,63,638,22,196,18.64863946,6.53517316
2018-03-01,Paris Montparnasse,St Malo,154,102,2,11,34.69242424,4.524333333
2018-03-01,Tourcoing,Marseille St Charles,309,31,0,3,31.88888889,4.148387097
